id /position_x /position_y /relative_velocity_x /relative_velocity_y /rcs /class_type
0 5.20000000000005 5.50000000000001 -4 -4 -15.5 0
1 7.40000000000003 -2.69999999999999 -3.25 -3.25 -25 0
2 6 5.50000000000001 -4 -4 -4 0
3 5.60000000000002 6.10000000000001 -3.75 -3.75 -7 0
4 8 3.30000000000001 -1.25 -1.25 -2 0
5 9 -0.0999999999999943 -3.25 -3.25 -13 0
6 9 3.50000000000001 -1.25 -1.25 -6.5 0
7 9 3.90000000000001 -1.25 -1.25 -10.5 0
8 8.20000000000005 5.30000000000001 -4 -4 -0.5 0
9 10 2.10000000000001 -1.25 -1.25 -10.5 0
10 8.80000000000001 5.10000000000001 -4 -4 -5 0
11 9.20000000000005 5.50000000000001 -4 -4 -10.5 0
12 11.2 1.90000000000001 -1.25 -1.25 -0.5 0
13 11.6 -0.299999999999997 -3 -3 7.5 0
14 12.2 2.10000000000001 -1.25 -1.25 -8.5 0
15 8.80000000000001 -9.49999999999999 -5 -5 -7 0
16 5.80000000000001 12.3 0 0 2.5 0
17 13.6 -2.09999999999999 -1.25 -1.25 -22 0
18 14.4 -0.0999999999999943 -3 -3 10.5 0
19 11 -9.3 -4.75 -4.75 -4.5 0
20 15.6 3.7 -4 -4 -12 0
21 16.2 -0.499999999999986 -3 -3 -21.5 0
22 15 -9.09999999999999 -4.75 -4.75 -5 0
23 16.6 -6.49999999999999 -3.75 -3.75 -1.5 0
24 17.6 -3.89999999999999 -2.5 -2.5 7.5 0
25 18 -1.89999999999999 -2.25 -2.25 7 0
26 17.6 -6.3 -3.25 -3.25 3.5 0
27 17.2 -7.69999999999999 -3.75 -3.75 2 0
28 19.2 -2.3 -2.5 -2.5 3.5 0
29 19.2 7.50000000000001 -4.5 -4.5 -6 0
30 20.4 -3.89999999999999 -2.5 -2.5 1 0
31 20.6 -6.49999999999999 -4 -4 0 0
32 21.6 -2.3 -2.25 -2.25 -2.5 0
33 20.2 -9.89999999999999 -4.75 -4.75 5.5 0
34 22.6 -2.3 -2.25 -2.25 -11 0
35 23.6 -2.89999999999999 -2.5 -2.5 -9 0
36 25 -0.499999999999986 -4.75 -4.75 11 0
37 24.6 -6.49999999999999 -3.75 -3.75 10 0
38 25.8000000000001 0.500000000000014 -4.75 -4.75 -1 0
39 26 -1.89999999999999 -2.25 -2.25 -6.5 0
40 26 -6.69999999999999 -4 -4 -13 0
41 28 2.90000000000001 -4.75 -4.75 15 0
42 28.8000000000001 5.10000000000001 -2.5 -2.5 5 0
43 29.8000000000001 2.90000000000001 -4.75 -4.75 -5.5 0
44 29.8000000000001 11.1 -4.5 -4.5 6.5 0
45 32.8000000000001 -2.89999999999999 -4.75 -4.75 -1 0
46 31.6 -9.69999999999999 -4.75 -4.75 10.5 0
47 34.2 -8.09999999999999 -4.75 -4.75 -6.5 0
48 34.8000000000001 4.50000000000001 -4.75 -4.75 -2.5 0
49 30.2 20.5 -5 -5 -3.5 0
50 35.8000000000001 -10.3 -4.75 -4.75 -3.5 0
51 37.4 -4.09999999999999 -4.25 -4.25 -7.5 0
52 37.4 5.50000000000001 -4.75 -4.75 -6 0
53 36.4 -16.3 -4.75 -4.75 -8.5 0
54 39.2 -9.69999999999999 -4.75 -4.75 -7.5 0
55 36 -20.3 -4.75 -4.75 -0.5 0
56 39 14.1 -4.5 -4.5 -5 0
57 41 18.5 -6 -6 -4 0
58 44.6 -12.1 -4.75 -4.75 2 0
59 41.8000000000001 28.1 -4.75 -4.75 10.5 0
60 42.8000000000001 28.7 -4.75 -4.75 2.5 0
61 45 27.9 -4.75 -4.75 14 0
62 45.6 28.1 -4.75 -4.75 18.5 0
63 47.4 29.1 -4.75 -4.75 -1 0
64 62.8000000000001 28.1 -4.75 -4.75 2 0
65 72.8000000000001 46.3 -4.75 -4.75 7.5 0
66 77 54.5 -4.75 -4.75 12 0
67 117.2 -39.1 -4.75 -4.75 12.5 0
68 11 -0.499999999999986 -1.25 -1.25 -14 0
69 11.2 -1.69999999999999 -3 -3 1.5 0
70 12 -0.0999999999999943 -3 -3 14 0
71 18.4 -2.09999999999999 -2.25 -2.25 6 0
72 25.2 -0.899999999999991 -4.75 -4.75 6.5 0
73 25.6 0.900000000000006 -4.75 -4.75 5 0
74 25.2 4.90000000000001 0 0 0 0
75 27.8000000000001 -2.09999999999999 -2.25 -2.25 -11.5 0
76 27.8000000000001 2.90000000000001 -4.75 -4.75 7 0
77 29.2 5.30000000000001 0 0 2 0
78 32.6 -4.3 -4.5 -4.5 -6 0
79 34.6 -4.89999999999999 -4.75 -4.75 -7.5 0
80 35 5.30000000000001 -4.75 -4.75 1.5 0
81 36 1.90000000000001 -4.75 -4.75 -17.5 0
82 37 -3.69999999999999 -4.25 -4.25 -13 0
83 37.6 1.90000000000001 -4.25 -4.25 -19.5 0
84 39 -6.3 0 0 -13 0
85 39.8000000000001 7.7 0 0 -11 0
86 41 4.7 -4.75 -4.75 -15.5 0
87 45 1.30000000000001 -4.75 -4.75 -20 0
88 45 -6.09999999999999 -4.75 -4.75 -16 0
89 66.8000000000001 7.50000000000001 -4.75 -4.75 -8.5 0
90 137.8 18.3 -4.75 -4.75 -0.5 0

