id /position_x /position_y /relative_velocity_x /relative_velocity_y /rcs /class_type
112 22 2.90000000000001 -2.25 -2.25 2 0
113 25.6 -0.299999999999997 -2.25 -2.25 -18.5 0
114 27.8000000000001 4.10000000000001 -8 -8 -1 0
115 28 -3.89999999999999 -7.75 -7.75 -7 0
116 33 -5.49999999999999 0 0 -17 0
117 36.4 2.50000000000001 -9.25 -9.25 -4.5 0
118 41.2 6.90000000000001 0 0 -3 0
119 51 -2.89999999999999 -7.5 -7.5 13 0
120 53.8000000000001 -0.299999999999997 -1.75 -1.75 4 0
121 62.4 4.10000000000001 -9.25 -9.25 -9 0
122 62.4 -6.3 -9.25 -9.25 -9.5 0
123 68.6 10.9 0 0 -2.5 0
124 73.8000000000001 4.7 -9.25 -9.25 4 0
125 77.8000000000001 4.30000000000001 -9.25 -9.25 3 0
126 83.2 -7.49999999999999 -9.25 -9.25 -1.5 0
127 99.6 -1.09999999999999 -7.75 -7.75 2.5 0
128 102 3.50000000000001 -9.25 -9.25 5 0
129 101.4 11.1 -9.5 -9.5 -1 0
130 102.8 19.7 0 0 9 0
131 106.8 6.30000000000001 -9 -9 2.5 0
132 106.4 13.5 -9 -9 5.5 0
133 120 -2.3 -5 -5 29.5 0
134 128.2 -2.49999999999999 -5 -5 19 0
135 126.6 -21.3 0 0 18.5 0
136 126.8 25.1 0 0 35.5 0
137 155.4 -4.69999999999999 -9.25 -9.25 9 0
138 157.8 -5.3 -9.25 -9.25 14 0

